상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202406A0278728,씨유고신대도서관점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26200,영도구,26200650,동삼1동,2620012100,동삼동,2620012100105160043,1,대지,516.0,43.0,부산광역시 영도구 동삼동 516-43,262003128016,부산광역시 영도구 와치로,194,,2620012100105160036000001,고신대학교,부산광역시 영도구 와치로 194,606701,49104,,1,,129.062176143041,35.0794688007357
MA0101202406A0218969,지에스25동래신,사직점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26260,동래구,26260600,사직3동,2626010900,사직동,2626010900101470079,1,대지,147.0,79.0,부산광역시 동래구 사직동 147-79,262604190355,부산광역시 동래구 여고로127번길,23,,2626010900101470079006138,,부산광역시 동래구 여고로127번길 23,607813,47831,,1,,129.075986678609,35.199889577796
MA0101202409A0063291,지에스25광안한빛점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26500,수영구,26500760,광안1동,2650010400,광안동,2650010400106630010,1,대지,663.0,10.0,부산광역시 수영구 광안동 663-10,265003131037,부산광역시 수영구 수영로,639,,2650010400106630010018681,,부산광역시 수영구 수영로 639,613807,48247,,1,,129.113990577252,35.1628704550078
MA0101202409A0023657,지에스25동래해링턴점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26260,동래구,26260570,온천3동,2626010800,온천동,2626010800112920000,1,대지,1292.0,,부산광역시 동래구 온천동 1292,262604190338,부산광역시 동래구 아시아드대로255번길,19,,2626010800112920000011343,,부산광역시 동래구 아시아드대로255번길 19,607839,47846,,1,,129.06773894494,35.2067083104618
MA0101202409A0002383,지에스25꿈에그린,2호점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26350,해운대구,26350570,반여1동,2635010300,반여동,2635010300116620000,1,대지,1662.0,,부산광역시 해운대구 반여동 1662,263503133007,부산광역시 해운대구 반여로,67,,2635010300113030001000002,메가센텀한화꿈에그린,부산광역시 해운대구 반여로 67,612900,48039,,,,129.122082674205,35.198080919866
MA0101202406A0594040,세븐부산동래SK뷰점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26260,동래구,26260550,온천1동,2626010800,온천동,2626010800101860066,1,대지,186.0,66.0,부산광역시 동래구 온천동 186-66,262604190466,부산광역시 동래구 차밭골로20번길,3,,2626010800101860066012852,,부산광역시 동래구 차밭골로20번길 3,607833,47712,,1,,129.079342819305,35.2165483371838
MA0101202409A0148114,세븐부산용호동일점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26290,남구,26290580,용호2동,2629010700,용호동,2629010700105170021,1,대지,517.0,21.0,부산광역시 남구 용호동 517-21,262904193056,부산광역시 남구 동명로164번길,94,,2629010700105170021010466,,부산광역시 남구 동명로164번길 94,608846,48587,,1,,129.113702239295,35.1148169386816
MA0101202409A0188366,세븐일레븐주례청구점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26530,사상구,26530650,주례1동,2653010600,주례동,2653010600109540005,1,대지,954.0,5.0,부산광역시 사상구 주례동 954-5,265304217162,부산광역시 사상구 백양대로494번길,37,,2653010600109540005023586,,부산광역시 사상구 백양대로494번길 37,617836,46993,,,,128.998868157888,35.1553631176623
MA0101202409A0171919,지에스25부산시티호텔점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26470,연제구,26470690,연산5동,2647010200,연산동,2647010200123980000,1,대지,2398.0,,부산광역시 연제구 연산동 2398,264704862462,부산광역시 연제구 신촌로17번길,8,,2647010200113600013003081,시청역동원시티비스타,부산광역시 연제구 신촌로17번길 8,611085,47542,,1,,129.075927409589,35.1824622617164
MA0101202409A0239593,지에스25대림,쌍용점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26320,북구,26320543,화명3동,2632010200,화명동,2632010200123060000,1,대지,2306.0,,부산광역시 북구 화명동 2306,263203132027,부산광역시 북구 화명신도시로,37,,2632010200123060000017651,대림쌍용강변타운,부산광역시 북구 화명신도시로 37,616735,46540,,,,129.009262416598,35.2276900344691
