상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202406A0034687,인앤스타,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26410,금정구,26410580,부곡2동,2641010900,부곡동,2641010900102350001,1,대지,235,1,부산광역시 금정구 부곡동 235-1,264104205389,부산광역시 금정구 중앙대로1685번길,7,,2641010900102350001027204,부곡빌딩,부산광역시 금정구 중앙대로1685번길 7,609821,46278,,3,,129.091239307129,35.2346816911797
MA0101202406A0466934,오성피트니스,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,P85612,기타 스포츠 교육기관,26,부산광역시,26140,서구,26140520,동대신2동,2614010200,동대신동2가,2614010200100580000,1,대지,58,,부산광역시 서구 동대신동2가 58,261402006003,부산광역시 서구 보수대로,198,1,2614010200100580000001445,,부산광역시 서구 보수대로 198-1,602809,49215,,2,,129.021118952791,35.1131253590122
MA0101202406A0329509,풀핏덕포,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26530,사상구,26530610,덕포2동,2653010300,덕포동,2653010300104040005,1,대지,404,5,부산광역시 사상구 덕포동 404-5,265303132023,부산광역시 사상구 사상로,336,,2653010300104040005003907,,부산광역시 사상구 사상로 336,617814,46945,,3,,128.984444468849,35.1745610420513
MA0101202406A0475386,와이트레이닝센터,동래점,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2626010700107530000,1,대지,753,,부산광역시 동래구 명륜동 753,262604190113,부산광역시 동래구 명륜로187번길,47,,2626010700107530000000542,쌍용예가,부산광역시 동래구 명륜로187번길 47,607806,47743,,3,,129.080133259385,35.2109476167944
MA0101202406A0369052,피트니스2Q,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,P85501,일반 교과학원,26,부산광역시,26230,부산진구,26230700,당감4동,2623010900,당감동,2623010900104300001,1,대지,430,1,부산광역시 부산진구 당감동 430-1,262303129006,부산광역시 부산진구 당감로,35,1,2623010900102820053000001,,부산광역시 부산진구 당감로 35-1,614821,47180,,3,,129.039142643053,35.1647667502036
MA0101202406A0565440,에스아이,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26230,부산진구,26230710,가야1동,2623011000,가야동,2623011000105850000,1,대지,585,,부산광역시 부산진구 가야동 585,262304211446,부산광역시 부산진구 가야대로552번길,79,,2623011000105850000000002,가야봄여름가을겨울,부산광역시 부산진구 가야대로552번길 79,614807,47336,,2,,129.033700438497,35.1502593613904
MA0101202406A0431951,바디닥터짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26500,수영구,26500800,민락동,2650010300,민락동,2650010300101610015,1,대지,161,15,부산광역시 수영구 민락동 161-15,265003138002,부산광역시 수영구 광남로,211,,2650010300101610016005015,서연빌딩,부산광역시 수영구 광남로 211,613829,48277,,7,,129.122042402385,35.1589628183422
MA0101202406A0428213,아워짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26260,동래구,26260600,사직3동,2626010900,사직동,2626010900100640017,1,대지,64,17,부산광역시 동래구 사직동 64-17,262604190315,부산광역시 동래구 아시아드대로164번길,8,,2626010900100640017008485,,부산광역시 동래구 아시아드대로164번길 8,607816,47842,,4,,129.065655024834,35.1989939601161
MA0101202406A0416344,무브앤스웻,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26500,수영구,26500760,광안1동,2650010400,광안동,2650010400100980005,1,대지,98,5,부산광역시 수영구 광안동 98-5,265003131037,부산광역시 수영구 수영로,660,,2650010400100980005016313,,부산광역시 수영구 수영로 660,613801,48268,,2,,129.114914256373,35.1646386048685
MA0101202406A0191120,더진짜휘트니스,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26530,사상구,26530660,주례2동,2653010600,주례동,2653010600112410014,1,대지,1241,14,부산광역시 사상구 주례동 1241-14,265302006008,부산광역시 사상구 백양대로,370,,2653010600112410014000001,,부산광역시 사상구 백양대로 370,617012,46997,,5,,129.011352420854,35.1530206525639
