상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,마트브랜드
MA0101202309A0056848,화명엘칸토,롯데마트,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,26,부산광역시,26320,북구,26320543,화명3동,2632010200,화명동,2632010200122730000,1,대지,2273,,부산광역시 북구 화명동 2273,263202132002,부산광역시 북구 화명대로,47,,2632010200122730000003931,엘칸토롯데마트,부산광역시 북구 화명대로 47,616744,46525,,2,,129.013016593832,35.235170359171,롯데마트
MA0101202310A0097889,여로,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,26,부산광역시,26290,남구,26290630,감만2동,2629011100,감만동,2629011100100080000,1,대지,8,,부산광역시 남구 감만동 8,262903131026,부산광역시 남구 우암로,124,,2629011100100080000026913,홈플러스감만동판매시설,부산광역시 남구 우암로 124,608800,48542,,2,,129.082212660335,35.1215982136695,홈플러스
MA0101202307A0048034,아이젠트리안경동래점,롯데마트,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,26,부산광역시,26260,동래구,26260560,온천2동,2626010800,온천동,2626010800105020003,1,대지,502,3,부산광역시 동래구 온천동 502-3,262602000010,부산광역시 동래구 중앙대로,1393,,2626010800105020003000477,롯데백화점,부산광역시 동래구 중앙대로 1393,607716,47727,,1,,129.07747341266,35.2117052140663,롯데마트
MA0101202307A0037417,폴햄,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,26,부산광역시,26530,사상구,26530680,엄궁동,2653010800,엄궁동,2653010800106900000,1,대지,690,,부산광역시 사상구 엄궁동 690,265302006002,부산광역시 사상구 낙동대로,733,,2653010800103570005008020,롯데마트,부산광역시 사상구 낙동대로 733,617830,47032,,3,,128.968364011655,35.1275926627189,롯데마트
MA0101202406A0564714,뱅뱅어패럴홈플러스,아시아드점,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,26,부산광역시,26470,연제구,26470620,거제2동,2647010100,거제동,2647010100112080000,1,대지,1208,,부산광역시 연제구 거제동 1208,264703130033,부산광역시 연제구 종합운동장로,7,,2647010100111980000009422,홈플러스아시아드점뱅뱅코너부산아파트,부산광역시 연제구 종합운동장로 7,611807,47500,,B2,,129.062012486264,35.1912700712054,홈플러스
MA0101202406A0587550,이랜드이츠애슐리퀸즈광복점,롯데마트,I2,음식,I204,서양식,I20403,패밀리레스토랑,I56123,서양식 음식점업,26,부산광역시,26110,중구,26110510,중앙동,2611011000,중앙동7가,2611011000100200001,1,대지,20,1,부산광역시 중구 중앙동7가 20-1,261102000010,부산광역시 중구 중앙대로,2,,2611011000100200001000001,롯데마트,부산광역시 중구 중앙대로 2,600017,48944,,6,,129.036707345866,35.0983104003377,롯데마트
MA0101202406A0429355,이디야커피부산광복점,롯데마트,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,26,부산광역시,26110,중구,26110510,중앙동,2611011000,중앙동7가,2611011000100200001,1,대지,20,1,부산광역시 중구 중앙동7가 20-1,261102000010,부산광역시 중구 중앙대로,2,,2611011000100200001000001,롯데백화점,부산광역시 중구 중앙대로 2,600017,48944,,3,,129.036707345866,35.0983104003377,롯데마트
MA0101202406A0291412,오토오아시스메가마트,동래점,G2,소매,G202,자동차 부품 소매,G20201,타이어 소매업,G45211,자동차 신품 타이어 및 튜브 판매업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2626010700105060003,1,대지,506,3,부산광역시 동래구 명륜동 506-3,262602006006,부산광역시 동래구 충렬대로,197,,2626010700105060003000040,메가마트,부산광역시 동래구 충렬대로 197,607804,47737,,2,,129.081133844024,35.2045502617048,메가마트
MA0101202406A0527818,하나글로벌투어,,N1,시설관리·임대,N105,여행사·보조,N10501,여행사,N75210,여행사업,26,부산광역시,26350,해운대구,26350570,반여1동,2635010300,반여동,2635010300114060001,1,대지,1406,1,부산광역시 해운대구 반여동 1406-1,263504199082,부산광역시 해운대구 선수촌로21번길,37,,2635010300114060001000001,홈플러스부산반여점,부산광역시 해운대구 선수촌로21번길 37,612815,48043,,1,,129.115698499529,35.19658863746,홈플러스
MA0101202406A0448523,이니스프리이마트,해운대점,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G46103,섬유; 의복; 신발 및 가죽제품 중개업,26,부산광역시,26350,해운대구,26350530,중1동,2635010600,중동,2635010600117670000,1,대지,1767,,부산광역시 해운대구 중동 1767,263503133039,부산광역시 해운대구 좌동순환로,511,,2635010600117670000019106,이마트,부산광역시 해운대구 좌동순환로 511,612851,48096,,,,129.167372481097,35.1660179546642,이마트
MA0101202406A0190787,이니스프리동래점,롯데마트,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G46103,섬유; 의복; 신발 및 가죽제품 중개업,26,부산광역시,26260,동래구,26260560,온천2동,2626010800,온천동,2626010800105020003,1,대지,502,3,부산광역시 동래구 온천동 502-3,262602000010,부산광역시 동래구 중앙대로,1393,,2626010800105020003000477,롯데마트,부산광역시 동래구 중앙대로 1393,607716,47727,,1,,129.07747341266,35.2117052140663,롯데마트
MA0101202311A0092682,동보약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2635010500114990000,1,대지,1499,,부산광역시 해운대구 우동 1499,263503133018,부산광역시 해운대구 센텀동로,6,,2635010500114490000023277,홈플러스센텀시티점,부산광역시 해운대구 센텀동로 6,612022,48059,,3,,129.133689814354,35.1709146307276,홈플러스
MA0101202409A0232804,블루샥연제,이마트점,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,26,부산광역시,26470,연제구,26470660,연산2동,2647010200,연산동,2647010200108220006,1,대지,822,6,부산광역시 연제구 연산동 822-6,264703129044,부산광역시 연제구 연수로,103,,2647010200108220006000002,시청스마트더블유,부산광역시 연제구 연수로 103,611840,47604,,,,129.082139082427,35.1755428588545,이마트
MA0101202409A0163314,도르리충무김밥동래메가마트점,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2626010700105060003,1,대지,506,3,부산광역시 동래구 명륜동 506-3,262602006006,부산광역시 동래구 충렬대로,197,,2626010700105060003000040,메가마트,부산광역시 동래구 충렬대로 197,607804,47737,,1,,129.081133844024,35.2045502617048,메가마트
MA0101202409A0084063,꾸이한끼,,I2,음식,I203,일식,I20302,일식 카레/돈가스/덮밥,I56111,한식 일반 음식점업,26,부산광역시,26530,사상구,26530620,괘법동,2653010400,괘법동,2653010400105310002,1,대지,531,2,부산광역시 사상구 괘법동 531-2,265303139003,부산광역시 사상구 광장로,17,,2653010400105310002005013,이마트,부산광역시 사상구 광장로 17,617808,46970,,2,,128.978893016647,35.1642343045877,이마트
MA0101202406A0260181,팔공티,해운대점,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,26,부산광역시,26350,해운대구,26350530,중1동,2635010600,중동,2635010600117670000,1,대지,1767,,부산광역시 해운대구 중동 1767,263503133039,부산광역시 해운대구 좌동순환로,511,,2635010600117670000019106,이마트,부산광역시 해운대구 좌동순환로 511,612851,48096,,1,,129.167372481097,35.1660179546642,이마트
MA0101202406A0170176,프렐린파크랜드,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2635010500114990000,1,대지,1499,,부산광역시 해운대구 우동 1499,263503133018,부산광역시 해운대구 센텀동로,6,,2635010500114490000023277,홈플러스센텀시티점,부산광역시 해운대구 센텀동로 6,612022,48059,,,,129.133689814354,35.1709146307276,홈플러스
MA0101202406A0495903,공차부산구서점,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,26,부산광역시,26410,금정구,26410680,구서1동,2641010700,구서동,2641010700103680000,1,대지,368,,부산광역시 금정구 구서동 368,264104205400,부산광역시 금정구 중앙대로1841번길,24,,2641010700103680000007216,이마트,부산광역시 금정구 중앙대로1841번길 24,609847,46233,,2,,129.090598612225,35.2499401418204,이마트
MA0101202409A0032587,정석닭강정,,I2,음식,I210,기타 간이,I21006,치킨,I56111,한식 일반 음식점업,26,부산광역시,26470,연제구,26470620,거제2동,2647010100,거제동,2647010100112080000,1,대지,1208,,부산광역시 연제구 거제동 1208,264703130033,부산광역시 연제구 종합운동장로,7,,2647010100111980000009422,홈플러스아시아드점,부산광역시 연제구 종합운동장로 7,611807,47500,,B2,,129.062012486264,35.1912700712054,홈플러스
MA0101202409A0148812,공차이마트,문현점,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,26,부산광역시,26290,남구,26290690,문현2동,2629010900,문현동,2629010900107510000,1,대지,751,,부산광역시 남구 문현동 751,262904006033,부산광역시 남구 전포대로91번길,47,,2629010900107590000018238,이마트,부산광역시 남구 전포대로91번길 47,608827,48401,,,,129.064238663686,35.144299716862,이마트
MA0101202409A0123897,이랜드이츠애슐리퀸즈이마트,문현점,I2,음식,I204,서양식,I20403,패밀리레스토랑,I56123,서양식 음식점업,26,부산광역시,26290,남구,26290690,문현2동,2629010900,문현동,2629010900107510000,1,대지,751,,부산광역시 남구 문현동 751,262904006033,부산광역시 남구 전포대로91번길,47,,2629010900107590000018238,이마트,부산광역시 남구 전포대로91번길 47,608827,48401,,3,,129.064238663686,35.144299716862,이마트
MA0101202411A0033369,플러스안경원아이피아,영도점,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,26,부산광역시,26200,영도구,26200590,봉래1동,2620011600,봉래동2가,2620011600101510001,1,대지,151,1,부산광역시 영도구 봉래동2가 151-1,262004184050,부산광역시 영도구 대교로14번길,57,,2620011600101510001022365,홈플러스,부산광역시 영도구 대교로14번길 57,606062,49004,,1,,129.044235083049,35.0959036943445,홈플러스
MA0101202411A0090951,밀스튜디오홈플러스,센텀시티점,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2635010500114990000,1,대지,1499,,부산광역시 해운대구 우동 1499,263503133018,부산광역시 해운대구 센텀동로,6,,2635010500114490000023277,홈플러스센텀시티점,부산광역시 해운대구 센텀동로 6,612022,48059,,2,,129.133689814354,35.1709146307276,홈플러스
MA0101202411A0131433,이니스프리메가마트,동래점,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G46103,섬유; 의복; 신발 및 가죽제품 중개업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2626010700105060003,1,대지,506,3,부산광역시 동래구 명륜동 506-3,262602006006,부산광역시 동래구 충렬대로,197,,2626010700105060003000040,메가마트,부산광역시 동래구 충렬대로 197,607804,47737,,1,,129.081133844024,35.2045502617048,메가마트
MA0101202504A0054402,탄탄면공방홈플러스,아시아드점,I2,음식,I201,한식,I20105,국수/칼국수,I56111,한식 일반 음식점업,26,부산광역시,26470,연제구,26470620,거제2동,2647010100,거제동,2647010100112080000,1,대지,1208,,부산광역시 연제구 거제동 1208,264703130033,부산광역시 연제구 종합운동장로,7,,2647010100111980000009422,홈플러스아시아드점,부산광역시 연제구 종합운동장로 7,611807,47500,,2,,129.062012486264,35.1912700712054,홈플러스
MA0101202505A0010775,홀리카홀리카메가마트,동래점,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G46103,섬유; 의복; 신발 및 가죽제품 중개업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2626010700105060003,1,대지,506,3,부산광역시 동래구 명륜동 506-3,262602006006,부산광역시 동래구 충렬대로,197,,2626010700105060003000040,메가마트,부산광역시 동래구 충렬대로 197,607804,47737,,1,,129.081133844024,35.2045502617048,메가마트
MA0101202505A0059386,베이커리코너폼드팡,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,26,부산광역시,26380,사하구,26380580,장림1동,2638010500,장림동,2638010500110330002,1,대지,1033,2,부산광역시 사하구 장림동 1033-2,263802006011,부산광역시 사하구 을숙도대로,610,,2638010500110330002004243,롯데마트,부산광역시 사하구 을숙도대로 610,604843,49472,,1,,128.972312100943,35.0847852323566,롯데마트
MA0106202504A0597090,아트박스센텀시티,홈플러스점,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2635010500114990000,1,대지,1499,,부산광역시 해운대구 우동 1499,263503133018,부산광역시 해운대구 센텀동로,6,,2635010500114490000023277,,부산광역시 해운대구 센텀동로 6,612022,48059,,,,129.133689814354,35.1709146307276,홈플러스
